job_title,company_name,location,work_type,experience_level,date_posted,year,month,month_name,country,job_category,job_skills
MLOps/Senior Software Developer - Artificial Intelligence / Machine Learning,Clio - Cloud-Based Legal Technology,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-15,2024,1,January,Canada,Machine Learning Engineer,"Machine Learning, Software Development, MLOps, AWS, Azure, NLP, GenAI, LLMs, Data Cleaning, Preprocessing, Agile, SaaS, Software Development Mentorship, Technical Problem Solving, Communication, HighTrust Relationships, Total Rewards Program, Hybrid Work Environment, Flexible Time Off, Counseling Benefit, RRSP Matching, RESP Contribution, Clioversary Recognition Program, Legal Software, CloudBased Solutions, Legal Practice Management, Diversity Inclusion Belonging and Equity (DIBE), Accessibility, Equal Employment"
Senior Data Engineer,MNP,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Engineer,"Data Engineering, Azure, Data Science, Data Modelling, Data Warehousing, ETL/ELT, Agile, Scrum, Python, SQL, C#, DevOps, Automation, Continuous Integration, Cloud Architectures, Microsoft Certified: Azure Administrator Associate, Microsoft Certified: Azure Data Engineer Associate, Data Factory, Synapse Analytics, Databricks, Azure Functions, SSIS, SAP HANA, Snowflake, Delta Lake, Databricks"
Data Scientist,Ample Insight,"Toronto, Ontario, Canada",Onsite,Associate,2024-01-14,2024,1,January,Canada,Data Scientist,"Machine Learning, Data Science, Statistics, Computer Science, Python, R, TensorFlow, Pandas, Numpy, Scikitlearn, Data mining, Business Intelligence, Analytical thinking, Problemsolving, Research, Prototyping, Production environments, Scalability, Business acumen"
Lead Machine Learning Operations Engineer,Agoda,"Montreal, Quebec, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Machine Learning Engineer,"Kubernetes, Kubeflow, MLOps, Data science, Data engineering, Machine learning, Artificial intelligence, Data pipelines, Model training, Model deployment, Monitoring, Management tools, DevOps, CI/CD, Containerization, Container orchestration, Docker, Spark, S3, Hadoop, scikitlearn, LGBM, Tensorflow, PyTorch, Java, Scala, Python, Kotlin, Communication, Collaboration, Teamwork, Code simplicity, Performance, Troubleshooting, Debugging"
Analytics Developer (Co-op),AMD,"Markham, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Analytics,"Software Systems Engineering, Data Analysis, Data Visualization, ObjectOriented Programming, FrontEnd Web Development, BackEnd Web Development, GitHub, Project Management, Business Intelligence, PowerBI, JIRA, Python, C#, JavaScript, .NET MVC, .NET Core MVC, HTML, CSS, D3.js, Google Chart, Chart.js"
Business Intelligence & Analytics Summer 2024 Co-op,"J.D. Irving, Limited","Halifax, Nova Scotia, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,BI Analyst,"Business Intelligence, Analytics, Data Quality Audits, Dashboards, Data Visualization, Microsoft Office Suite, ProblemSolving, Communication, Interpersonal Skills, Data Integrity, Leadership, Canadian Controlled Goods Program (CGP), Canadian Government Security Clearance, U.S. International Traffic in Arms Regulations (ITAR)"
Senior Data Scientist,Right Brained Design,"London, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Scientist,"R, Python, SQL, AI, Machine Learning, kNearest Neighbors, Naive Bayes, SVM, Decision Forests, Statistical Tests, Distributions, Regression, Maximum Likelihood Estimators, Statistical Tools, Data Visualization, Reporting, Strong Critical Thinking, ProblemSolving, Time Management, Prioritization, English"
Senior Data Scientist - 18671,The Headhunters Recruitment,"Vancouver, British Columbia, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Scientist,"Senior Data Scientist, Data Science, Machine Learning, Python, R, SQL, Apache Spark, AWS, NLP, Statistics, Data Engineering, Experimental Design, Knowledge Graphs, Vector Similarity Search, Large Language Models"
Business Intelligence Analyst,Jobs for Humanity,"Mississauga, Ontario, Canada",Onsite,Mid senior,2024-01-13,2024,1,January,Canada,BI Analyst,"Power BI, MS Office, Salesforce, CRM, Business Intelligence, Data Analytics, Database Management, Analytical Skills, ProblemSolving Skills, Leadership, Partnering Skills, Communication Skills, Presentation Skills, Collaboration Skills, Attention to Detail, Accuracy, HandsOn Experience, MultiTasking, Proactivity, Independence, FastPaced Environment, Dynamic Environment, Healthcare, Market Analysis, Strategy, Consulting, IQVIA, Canadian Healthcare Industry Business, Competitive Assessments"
Customer Service Representative/Data Analyst/Data Entry Clerk/Urgent,Toyandsons,"Granby, Quebec, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, Data Interpretation, Data Mining, Statistical Techniques, R, Python, SQL, Tableau, Power BI, Hypothesis Testing, A/B Testing, Data Visualization, Analytical Skills, Critical Thinking, Problem Solving, Communication Skills, Collaboration Skills, Data Management, ETL Processes, Data Quality Assessment, Data Integrity, Data Accuracy, Data Completeness"
Lead Data Engineer,Jobs for Humanity,Buffalo-Niagara Falls Area,Onsite,Mid senior,2024-01-17,2024,1,January,Canada,Data Engineer,"Agile, AWS, Cassandra, Cloud computing, Data engineering, EMR, Hadoop, Hive, Java, Kafka, MapReduce, Microservices, Mongo, MySQL, NoSQL, Python, Redshift, Scala, Snowflake, Spark, SQL, UNIX/Linux"
Sr. Data Scientist - Analytics,AppLovin,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-16,2024,1,January,Canada,Data Scientist,"Data Analytics, BI Reporting, Data Visualization, A/B Testing, Product Strategy, Communication, Data Quality, Data Analysis, Product Development, Business Development, Teamwork, Collaboration, Engineering, Computer Science, Mathematics, Startup, Entrepreneurship, Equal Opportunity, Inclusion, Diversity"
"Group Manager, Insights and Analytics (Canada)",Avanade,"Ottawa, Ontario, Canada",Onsite,Mid senior,2024-01-13,2024,1,January,Canada,Analytics,"ERP, CRM, Data analytics, Machine learning, RPA, AI, Data management, Data visualization, Consulting, Strategy, Data science, Digital transformation, Microsoft Azure, Office 365, Power BI, SQL, Python, R, Tableau, Project management, Budget management, Budget management, Problemsolving, Communication, Teamwork, Flexibility, Adaptability, Curiosity, Creativity, Storyteller, Leadership"
Supply Analytics Manager (Bangkok-based role),Agoda,"Montreal, Quebec, Canada",Onsite,Mid senior,2024-01-16,2024,1,January,Canada,Analytics,"Leadership, Analytics, Data science, Insights, Strategy, Project management, Communication, Presentation, Data visualization, Data analysis, Statistical modelling, Machine learning, Business intelligence, Process improvement, People management, A/B testing, Consulting, Ecommerce, Tech, Tableau, Python, R, Excel, SQL"
Senior Data Engineer,Jobber,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-15,2024,1,January,Canada,Data Engineer,"Senior Data Engineer, Python, SQL, Cloud infrastructure, AWS, ETL/ELT processes, Data collection and ingestion, CI/CD environments, BI tools, Data warehousing, Dimensional modeling, Star schema, NoSQL, Airflow, Data pipelines, Batch data pipelines, Real time data pipelines, Serverless applications, Workflows, A/B testing, Business insights, Strategic planning, Data integrity, Agile/Scrum environment, Backend development, Message queues, Stream processing, Terraform, dbt, Integrations, APIs, AWS Redshift"
"Manager, Business (Data) Process Analytics (Data) Process Analytics",Apex Systems,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Analytics,"SAS Enterprise Guide (EG), SQL, Excel, PowerPoint, Business Data Analyst Mindset, Data Visualization Software, Power BI, Microsoft Reporting Services, Spotfire, Tableau, Data Visualization, Communication Skills, Creative ProblemSolving, SelfMotivation, Ability to Work Under Pressure, Ability to SelfCheck Work, Ability to Plan Organize and Work on Multiple Tasks, Risk Management, Leadership, Data Analysis, Statistical Analysis, Analytical Thinking, ProblemSolving, Reporting, Dashboarding, Business Intelligence, Data Warehousing, Data Mining, Machine Learning, Artificial Intelligence, Cloud Computing, Big Data, Data Governance, Data Security, Data Privacy, Data Ethics, Data Quality, Data Integration, Data Architecture, Data Engineering, Data Science, Data Analytics, Business Intelligence, Data Visualization, Data Storytelling, Machine Learning, Artificial Intelligence, Natural Language Processing, Computer Vision, Robotics, Blockchain, Cybersecurity, Internet of Things"
Machine Learning Operations – Staff Engineer,Agoda,"Montreal, Quebec, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Machine Learning Engineer,"Machine Learning, Software Engineering, Data Engineering, Data Science, Java, Scala, Python, Kotlin, MLOps, Kubeflow, MLFlow, Scikitlearn, LGBM, TensorFlow, PyTorch, Spark, S3, Hadoop, Docker, Kubernetes, DevOps, CI/CD, Containerization, Container Orchestration, APIs, Model Serving, Data Pipelines, Monitoring Tools, Scalability, Performance, Collaboration, Communication, Troubleshooting, Debugging"
"Senior Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Montreal, Quebec, Canada",Onsite,Associate,2024-01-16,2024,1,January,Canada,Analytics,"Data analysis, Data mining, Data science, R (programming language), Tableau, Analytical skills, Data visualization, Databases, Business analysis, Business intelligence (BI), Microsoft SQL Server, Machine learning, Statistics, Microsoft Power BI, Java, Python (programming language)"
"Lead Data Analyst – Marketing Strategy & Analytics (Bangkok-based, relocation provided)",Agoda,"Montreal, Quebec, Canada",Onsite,Associate,2024-01-16,2024,1,January,Canada,Data Analyst,"data analysis, data analytics, data representation, data mining, data science, data visualization, databases, business intelligence (BI), business analysis, SQL, Python, R programming, Tableau, statistical analysis, data warehousing, machine learning, computer science, statistics, MS Power BI, BI Tools, R studio, data modeling, analytical skills"
"Treasury Deposit Analytics Manager, Treasury Services",CIBC Mellon,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-17,2024,1,January,Canada,Analytics,"Data Analytics, Statistical Tools, Data Management, Business Acumen, Communication, Presentation, Advanced Analytics, Machine Learning, Artificial Intelligence, KPI Development, Forecasting, Reporting, Data Visualization, Alteryx, Power BI, SaS, Tableau, Data Relationships, CFA, MBA, Capital Markets, Institutional Investors, Deposit Products"
Senior Data Scientist - Financial Crimes,EY,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-15,2024,1,January,Canada,Data Scientist,"Data Science, AntiMoney Laundering, Data Analytics, Machine Learning, Risk Management, Data Quality, Data Governance, Reporting Design, Architecture, Implementation, Communication, Client Service, Teamwork, Problem Solving, Analytical Thinking, Critical Thinking, SQL, Hadoop, Spark, R, Python, Scala, AI/Machine Learning Techniques, Algorithms, Data Processing, ETL, Data Quality, Data Management, Data Integration, Data Warehousing, Master Data Management, Data Rationalization, Data Migration, Regulatory Requirements, Guidelines, AML Software, Other DB Technology, ETL Packages, Microsoft Azure, Azure DevOps, Fraud, Business Intelligence, Solution Architecture, Business Analysis, Systems Analysis"
"Manager, BI & Analytics, Reporting",Lightspeed Commerce,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-16,2024,1,January,Canada,Analytics,"Business Intelligence, Analytics, Data Mining, Data Analysis, SQL, Tableau, Looker, Bigquery, Excel, Data Visualization, Dashboards, KPIs, Reporting, Data Quality, Data Governance, Data Management, Project Management, Team Management, Communication, Time Management, Attention to Detail, Credit Risk, Lending, Collections, Marketing, Autonomy, Flexible Work Culture, Innovation, Learning and Development, Growth Opportunities, Technical Leadership, People Management, FastPaced Environment, HighGrowth Company, Diversity and Inclusion, Equal Opportunity Employer, Remote Work, Health Insurance, Pension Plan, Wellness Benefits, Paid Leave, Mental Health Support, Training and Development, Volunteer Opportunities, Fully Stacked Kitchen, Happy Hours"
"Senior Data Analyst (Flights team, Bangkok-based, Relocation provided)",Agoda,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-15,2024,1,January,Canada,Data Analyst,"Data Analysis, Data Visualization, Tableau, SQL, Python, R, Statistics, Machine Learning, Hypothesis Testing, Regression, Logistic Regression, Random Forest, Stakeholder Management, Communication, Presentation, Automation, Programming, Prototyping, Decision Making, Resource Management, MBA, Program Management, Asian Market Experience, Travel Industry, Ecommerce, Tech, Consulting"
"Manager, BI & Analytics, Reporting",Lightspeed Commerce,"Montreal, Quebec, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Analytics,"Business Intelligence, Data Analysis, Data Mining, Prescriptive Analysis, Descriptive Analysis, Predictive Analysis, Exploratory Analysis, Inferential Analysis, Data Visualization, Dashboard Development, Data Quality Management, Data Integration, Data Warehousing, Business Requirements Gathering, KPI Development, Reporting, Communication, Project Management, Team Management, SQL, Tableau, Looker, Bigquery, MS Excel, Credit Risk, Lending, Collections, Marketing, Technical Experience, Autonomy, Flexible Work Culture, Innovation, Learning, Skill Development, Career Growth, Diversity and Inclusion, Equity Scheme, Paid Time Off, Remote Work, Health Insurance, Pension Plan, Wellness Benefit, Parental Leave, Mental Health Support, Training Opportunities, Volunteer Day, Fully Stacked Kitchen, Happy Hours"
Analyste Business Intelligence,LEDUConseils,"Montreal, Quebec, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,BI Analyst,"SQL, MS SQL, SQL Server Reporting Services (SSRS), Computer Science, Financial Systems, Accounting, Investments, Transactions, Performance"
"Manager, Cyber Analytics, Intelligence & Reporting",Teck Resources Limited,"Vancouver, British Columbia, Canada",Onsite,Mid senior,2024-01-17,2024,1,January,Canada,Analytics,"Data analytics, Cyber security, Machine learning, AI, Algorithms, Mathematical models, Critical thinking, Data sources, Raw data, Senior leadership, Intelligence and analytics reporting, Project management, Data visualization, Information security, Data documentation, Incident response, Risk management, Financial reporting, Payment card standards, Data privacy, Change management, Mentoring, Training, Power BI, Azure, SQL, Data modeling, DevOps, Agile methodologies, Design methodologies"
Data Analyst Part Time,Voxmediallc,"Drummondville, Quebec, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, Statistical Techniques, Data Manipulation, Data Cleansing, Data Management, Data Visualization, SQL, R, Python, Tableau, Power BI, A/B Testing, Hypothesis Testing, Statistical Modeling"
"Staff Data Engineer (Fintech team) (Bangkok based, relocation provided)",Agoda,"Montreal, Quebec, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Engineer,"Scala, Spark, Java, Golang, Python3, Bash, Hadoop, SQL, S3, Linux, Computer Science, Information Systems, Engineering, Apache Spark, JVM, Data architecture, Big Data technologies, Analytical problemsolving, Agile environment, Test driven methodologies"
Senior Data Engineer,Cognizant,"Halifax, Nova Scotia, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Engineer,"Artificial intelligence, Analytics, PySpark, Hadoop, Spark, Databricks, Python, Hive, Shell scripting, Java"
Customer Service Representative/Data Analyst/Data Entry Clerk Full Time,Bluebeacontruckwash,"Hanover, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data analysis, Data interpretation, Data modeling, Data visualization, Statistical modeling, Quantitative analysis, SQL, R, Python, Tableau, Power BI, Microsoft Office Suite, Data wrangling, Data manipulation, Data collection, Data cleansing, Data integration, Experimental design, Hypothesis testing, A/B testing, Data quality assurance, Data integrity, Data accuracy, Data completeness, Communication, Collaboration, Problemsolving, Critical thinking, Attention to detail, Teamwork, Time management"
"Senior Manager, Supply Analytics (Bangkok-based role)",Agoda,"Vancouver, British Columbia, Canada",Onsite,Mid senior,2024-01-16,2024,1,January,Canada,Analytics,"Leadership, Strategic thinking, Project management, Communication, Data analysis, Data visualization, Statistical modelling, Machine learning, Business intelligence, Process improvement, Reporting, People management, Analytical skills, Bachelor's degree in business or quantitative subject, Master's degree in statistics economics mathematics or similar discipline, Experience in conducting A/B testing experimentation, Travel industry / ecommerce / tech / consulting experience, Python, R, Tableau, SQL, Excel"
Customer Service Representative/Data Analyst/Data Entry Clerk Part Time,Newyorkuniversity,"Yellowknife, Northwest Territories, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, Data Interpretation, Statistical Techniques and Tools, Performance Metrics and Reports, Datadriven Decisionmaking Processes, Models and Algorithms, Optimization, A/B Testing, Data Quality, Data Integrity, Data Cleansing, Data Manipulation, Data Presentation, Datadriven Reports, SQL, R, Python, Tableau, Power BI, Data Visualization Tools, Statistical Modeling, Hypothesis Testing, A/B Testing Methodologies, Data Management, ETL Processes"
Data Analyst Part Time,Voxmediallc,"Vernon, British Columbia, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, SQL, R, Python, Tableau, Power BI, Data Visualization, Statistical Modeling, Hypothesis Testing, A/B Testing, Data Quality, Data Management, ETL, DataDriven Decision Making, Analytical, Problem Solving, Critical Thinking, Communication, Collaboration, Team Work"
"Machine Learning Platform Engineer, Sr. Staff - 47592BR",Synopsys Inc,"Mississauga, Ontario, Canada",Onsite,Mid senior,2024-01-17,2024,1,January,Canada,Machine Learning Engineer,"Machine Learning, Python, Go, Distributed systems, Kubernetes, Linux Kernel, Containers, Cloud computing, Algorithms, RDBMS, PostgreSQL, PyTorch, ML Flow, AirFlow, Statistics, Deep Learning"
Customer Service Representative/Data Analyst/Data Entry Clerk Full Time,Bluebeacontruckwash,"Temiskaming Shores, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, Data Interpretation, Statistical Analysis, Data Mining, Reporting, Data Visualization, Hypothesis Testing, A/B Testing, Machine Learning, Optimization, Data Management, Data Quality, ETL, SQL, R, Python, Tableau, Power BI"
Customer Service Representative/Data Analyst/Data Entry Clerk Full Time,Newyorkuniversity,"Belleville, Ontario, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Analyst,"Data Analysis, Data Interpretation, Data Visualization, Statistical Techniques, R, Python, SQL, Tableau, Power BI, Machine Learning, A/B Testing, Hypothesis Testing, Data Quality, Data Management, ETL, DataDriven Decision Making"
"Data Analyst, Business Intelligence [Bell Canada]",CareerBeacon,"Mississauga, Ontario, Canada",Onsite,Mid senior,2024-01-13,2024,1,January,Canada,BI Analyst,"Agile, BI visualization tools, SQL, SAS, Data visualization tools, Data analysis, Business intelligence, Data warehouse, Project management, Data systems, Machine learning, Artificial intelligence, Economics, Econometrics, Statistics, Applied mathematics, Computer science, Business analytics"
"Staff Data Engineer (Bangkok based, relocation provided)",Agoda,"Vancouver, British Columbia, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Data Engineer,"Scala, Java, Golang, Python3, Bash, Python, Hadoop, SQL, S3, DBMS, Software engineering related to data replication storage centralized computation and Data API’s, Data processing, Libraries, Agile environment, Linux, Systems administration"
MLOps/Senior Software Developer - Artificial Intelligence / Machine Learning,Clio - Cloud-Based Legal Technology,"Vancouver, British Columbia, Canada",Onsite,Mid senior,2024-01-14,2024,1,January,Canada,Machine Learning Engineer,"MLOps, Infrastructure, AI Solutions, NLP, GenAI, AWS, Azure, LLMs, Agile, SaaS, Machine Learning, Software Development, Complex unstructured data, Distributed teams, Communication, Hybrid work environment, Flexible time off, RRSP matching, RESP contribution, Diversity, Inclusion, Belonging, Equity, Accessibility"
Customer Service Representative/Data Analyst/Data Entry Clerk Full Time,Bluebeacontruckwash,"Renfrew, Ontario, Canada",Onsite,Mid senior,2024-01-15,2024,1,January,Canada,Data Analyst,"Data Analysis, Statistical Techniques, Trend Analysis, DataDriven Decision Making, Business Intelligence, A/B Testing, Data Quality Management, Data Manipulation, Data Visualization, SQL, R, Python, Tableau, Power BI, Statistical Modeling, Hypothesis Testing, ETL Processes, Data Integrity, Data Accuracy, Data Completeness"
"Manager, Supply Analytics (Bangkok-based role)",Agoda,"Toronto, Ontario, Canada",Onsite,Mid senior,2024-01-16,2024,1,January,Canada,Analytics,"Leadership experience, Analytics/Data science/Insights/Strategy, Leading analytics operational product or other technical teams, Data analysis and data visualization tools and software (Excel SQL Tableau Python R), Statistical modelling and machine learning, Finding data insights, Business recommendation, Communication (written verbal presentation interpersonal), Multitasking, Prioritization, Coordination, Program/project management, Bachelor's degree in business or quantitative subject, Articulating strategic issues and negotiating with Clevel executives, Strategic consulting projects, People management, Driving projects independently, Delivering results rapidly, Stakeholder engagement, Master's degree in statistics economics mathematics or similar discipline, Conducting A/B testing experimentation, Travel industry / ecommerce / tech / consulting experience"
"Manager, Automation & Data Analytics",Loblaw Companies Limited,"Brampton, Ontario, Canada",Onsite,Mid senior,2024-01-13,2024,1,January,Canada,Analytics,"Data Analytics, Data Management, Automation, Data Visualization, Data Analysis, Dashboarding, Business Intelligence, Business Analytics, Data Modeling, Database Management, Data Sources, Data Flow, Risk Management, Control Fundamentals, Compliance Monitoring, Governance Risk and Compliance (GRC), AI Tools and Technologies, Generative AI, Communication, Collaboration"
Project & Change Management Specialist - Data Analytics,Vancouver Coastal Health,"Vancouver, British Columbia, Canada",Onsite,Mid senior,2024-01-12,2024,1,January,Canada,Analytics,"Project Management, Change Management, Data Analytics, Organizational Skills, Visual Design, Data Collective Activities, Database Structures, Data Analysis, Queries, Clinical Indicators, Financial and Resource Utilization, COVID19 Vaccination, MSP, Extended Health and Dental, Municipal Pension Plan, EmployerPaid Training, Leadership Development Opportunities, Wellness Supports, Counselling, Critical Incident and Innovative Wellness Services, AwardWinning Recognition Programs, Exclusive Discount Offers, Equity Diversity and Inclusion, Representative Workforce, Comprehensive Knowledge, Database Design, Report Design, OLAP (OnLine Application Processing), SQL, Excel, Access, Work, SPSS, Prioritization, Collaboration, Independent Work, Limited Supervision, Physical Ability"
"Senior Data Analyst (Product Team) (Bangkok Based, relocation provided)",Agoda,"Vancouver, British Columbia, Canada",Onsite,Associate,2024-01-12,2024,1,January,Canada,Data Analyst,"data representation, data analysis, SQL, data analytics, analytics, python (programming language), data mining, data science, r (programming language), tableau, analytical skills, data visualization, databases, business analysis, business intelligence (bi), microsoft sql server, product analyst"
Customer Service Representative/Data Analyst/Data Entry Clerk Full Time,Louisvuitton,"Kelowna, British Columbia, Canada",Onsite,Mid senior,2024-01-13,2024,1,January,Canada,Data Analyst,"Data Analysis, Data Interpretation, DataDriven DecisionMaking, Statistical Techniques, Data Visualization, Reporting, Data Collection, Data Cleansing, Data Manipulation, Data Integrity, Data Quality, SQL, Python, R, Tableau, Power BI, A/B Testing, Statistical Modeling, Hypothesis Testing, ETL Processes"
